MS8607 Demo with MUX control for TE Arduino Weathershield
Temperature , Pressure, Humidity 
26.54, 852.47, 25.88 
26.56, 852.29, 25.76 
26.57, 852.53, 25.80 
26.54, 852.47, 25.85 
26.54, 852.26, 25.85 
26.54, 852.47, 25.93 
26.54, 852.26, 25.93 
26.53, 852.23, 25.95 
26.54, 852.26, 25.94 
26.56, 852.29, 25.93 
26.53, 852.23, 25.93 
26.51, 852.41, 25.93 
26.49, 852.38, 26.05 
26.48, 852.14, 26.08 
26.48, 852.14, 25.99 
26.44, 852.29, 25.99 
26.44, 852.08, 25.98 
26.43, 852.26, 26.05 
26.41, 852.23, 26.16 
26.41, 852.45, 26.14 
26.40, 852.42, 26.19 
26.40, 852.42, 26.13 
26.40, 852.20, 26.11 
26.38, 852.17, 26.11 
26.38, 852.39, 26.07 
26.38, 852.17, 26.14 
26.40, 852.20, 26.08 
26.38, 852.39, 26.13 
26.36, 852.36, 26.17 
26.36, 852.14, 26.15 
26.36, 852.14, 26.19 
26.38, 852.39, 26.07 
26.35, 852.33, 26.05 
26.35, 852.33, 26.07 
26.33, 852.08, 26.13 
26.33, 852.30, 26.15 
26.32, 852.27, 26.14 
26.32, 852.27, 26.16 
26.30, 852.45, 26.09 
26.32, 852.27, 26.05 
26.30, 852.45, 26.03 
26.30, 852.24, 26.18 
26.32, 852.27, 26.19 
26.32, 852.27, 26.16 
26.33, 852.30, 26.11 
26.32, 852.05, 26.13 
26.33, 852.08, 26.19 
26.33, 852.30, 26.18 
26.33, 852.30, 26.22 
26.33, 852.30, 26.34 
26.33, 852.08, 26.36 
26.35, 852.33, 26.29 
26.35, 852.33, 26.41 
26.36, 852.14, 26.31 
26.32, 852.27, 26.41 
26.33, 852.30, 26.60 
26.33, 852.08, 26.58 
26.33, 852.30, 26.42 
26.30, 852.24, 26.44 
26.33, 852.08, 26.39 
26.32, 852.05, 26.32 
26.32, 852.27, 26.42 
26.32, 852.27, 26.34 
26.30, 852.24, 26.31 
26.28, 852.21, 26.34 
26.28, 852.21, 26.44 
26.27, 852.18, 26.59 
26.27, 851.97, 26.63 
26.27, 852.18, 26.73 
26.27, 851.97, 26.76 
26.27, 851.97, 26.75 
26.27, 851.97, 26.79 
26.25, 852.15, 26.86 
26.25, 851.94, 26.72 
26.25, 852.15, 26.66 
26.24, 852.12, 26.60 
26.22, 852.09, 26.69 
26.24, 852.12, 26.71 
26.22, 852.30, 26.73 
26.22, 852.30, 26.83 
26.20, 852.27, 26.89 
26.20, 852.27, 26.87 
26.20, 852.06, 26.83 
26.22, 852.30, 26.84 
26.19, 852.03, 26.87 
26.20, 852.06, 26.86 
26.19, 852.24, 26.86 
26.20, 852.06, 26.88 
26.20, 852.06, 26.87 
26.20, 852.06, 26.91 
26.19, 852.24, 26.94 
26.19, 852.24, 26.95 
26.17, 852.00, 27.01 
26.19, 852.03, 27.05 
26.16, 852.18, 27.02 
26.17, 852.21, 26.97 
26.17, 852.21, 26.90 
26.17, 852.21, 26.91 
26.17, 852.21, 26.99 
26.16, 851.97, 26.98 
26.16, 852.18, 27.00 
26.16, 852.18, 26.94 
26.12, 852.12, 26.94 
26.14, 852.15, 26.99 
26.12, 852.12, 26.95 
26.12, 852.12, 26.92 
26.12, 852.12, 26.89 
26.14, 851.94, 26.86 
26.11, 851.88, 26.84 
26.12, 852.12, 26.83 
26.11, 851.88, 26.79 
26.09, 852.06, 26.84 
26.09, 851.85, 26.79 
26.09, 851.85, 26.85 
26.09, 852.06, 26.88 
26.08, 852.25, 26.94 
26.09, 852.06, 26.89 
26.12, 851.91, 26.89 
26.12, 852.12, 26.84 
26.12, 852.12, 26.84 
26.16, 852.18, 26.71 
26.12, 851.91, 26.76 
26.14, 851.94, 26.76 
26.12, 852.12, 26.83 
26.11, 852.09, 26.84 
26.11, 852.09, 26.85 
26.14, 852.15, 26.92 
26.16, 851.97, 26.92 
26.16, 852.18, 26.86 
26.17, 852.00, 26.92 
26.14, 851.94, 26.73 
26.12, 851.91, 26.76 
26.12, 851.70, 26.78 
26.16, 852.18, 26.88 
26.16, 851.76, 26.89 
26.16, 851.76, 26.84 
26.14, 851.94, 26.89 
26.14, 851.94, 26.94 
26.14, 851.94, 27.03 
26.14, 851.94, 26.97 
26.14, 851.94, 26.96 
26.19, 851.82, 27.02 
26.16, 851.97, 26.90 
26.16, 852.18, 26.88 
26.14, 851.94, 26.99 
26.14, 851.94, 27.25 
26.17, 852.21, 27.08 
26.16, 851.97, 27.11 
26.17, 852.00, 27.05 
26.16, 851.97, 26.92 
26.16, 852.18, 26.91 
26.14, 851.94, 27.07 
26.11, 851.88, 27.12 
26.09, 851.85, 27.01 
26.11, 851.88, 27.01 
26.09, 851.85, 26.98 
26.09, 851.85, 26.98 
26.08, 852.03, 27.07 
26.06, 852.00, 27.16 
26.03, 851.95, 27.29 
26.03, 851.95, 27.56 
26.01, 851.92, 27.47 
26.03, 851.95, 27.51 
26.03, 851.95, 27.54 
26.04, 851.97, 27.30 
26.03, 851.73, 27.37 
26.01, 851.70, 27.37 
26.03, 851.95, 27.47 
26.00, 851.67, 27.31 
26.01, 851.92, 27.28 
26.01, 851.92, 27.44 
26.00, 851.67, 27.33 
26.01, 852.13, 27.34 
26.01, 851.70, 27.31 
25.98, 851.86, 27.31 
26.00, 851.89, 27.40 
26.00, 851.89, 27.40 
25.96, 851.83, 27.37 
25.96, 852.04, 27.40 
25.96, 851.83, 27.45 
25.96, 851.83, 27.44 
25.95, 852.01, 27.37 
25.96, 852.04, 27.41 
25.96, 851.83, 27.50 
25.96, 852.04, 27.46 
25.95, 852.01, 27.53 
25.95, 852.01, 27.45 
25.95, 852.01, 27.54 
25.93, 851.98, 27.45 
25.95, 852.01, 27.50 
25.95, 852.01, 27.56 
25.95, 852.01, 27.47 
25.95, 852.01, 27.61 
25.93, 851.98, 27.61 
25.93, 851.98, 27.65 
25.92, 851.95, 27.57 
25.90, 851.92, 27.57 
25.93, 851.98, 27.57 
25.92, 851.74, 27.57 
25.93, 851.77, 27.60 
25.93, 851.98, 27.52 
25.92, 851.95, 27.53 
25.92, 851.95, 27.53 
25.92, 851.95, 27.49 
25.90, 852.13, 27.55 
25.90, 851.92, 27.55 
25.92, 851.95, 27.42 
25.90, 851.92, 27.36 
25.90, 851.71, 27.44 
25.90, 851.92, 27.42 
25.90, 852.13, 27.45 
25.90, 851.92, 27.45 
25.90, 851.92, 27.41 
25.90, 851.92, 27.39 
25.90, 851.92, 27.39 
25.90, 851.71, 27.38 
25.92, 851.95, 27.41 
25.93, 852.19, 27.52 
25.93, 851.98, 27.47 
25.95, 852.22, 27.39 
25.92, 851.95, 27.41 
25.92, 851.95, 27.50 
25.92, 851.95, 27.60 
25.88, 851.89, 27.61 
25.88, 851.89, 27.69 
25.88, 852.10, 27.52 
25.88, 852.10, 27.57 
25.88, 852.10, 27.64 
25.88, 852.10, 27.67 
25.87, 851.86, 27.61 
25.85, 852.04, 27.66 
25.87, 851.86, 27.68 
25.84, 852.01, 27.66 
25.85, 851.83, 27.64 
25.84, 852.01, 27.61 
25.85, 852.04, 27.69 
25.85, 852.04, 27.76 
25.87, 852.07, 27.74 
25.85, 851.83, 27.71 
25.84, 852.01, 27.67 
25.84, 851.80, 27.73 
25.84, 852.01, 27.76 
25.85, 851.83, 27.75 
25.84, 852.01, 27.71 
25.82, 851.98, 27.76 
25.82, 851.98, 27.78 
25.82, 851.98, 27.70 
25.82, 851.98, 27.66 
25.82, 851.98, 27.73 
25.82, 851.98, 27.79 
25.84, 852.23, 27.79 
25.82, 851.98, 27.77 
25.82, 851.77, 27.82 
25.82, 851.98, 27.79 
25.84, 851.80, 27.79 
25.84, 852.01, 27.73 
25.84, 852.01, 27.67 
25.82, 851.98, 27.60 
25.82, 851.98, 27.63 
25.84, 852.01, 27.65 
25.85, 851.83, 27.70 
25.84, 852.01, 27.69 
25.82, 851.77, 27.69 
25.84, 852.01, 27.63 
25.85, 852.04, 27.62 
25.82, 851.98, 27.66 
25.80, 851.95, 27.73 
25.82, 851.77, 27.67 
25.82, 851.98, 27.60 
25.82, 851.98, 27.58 
25.82, 851.77, 27.60 
25.82, 851.77, 27.57 
25.84, 851.80, 27.57 
25.82, 851.56, 27.63 
25.82, 851.77, 27.62 
25.84, 851.80, 27.54 
25.84, 851.80, 27.56 
25.85, 851.83, 27.56 
25.85, 851.83, 27.54 
25.84, 851.80, 27.53 
25.84, 852.01, 27.54 
25.82, 851.77, 27.52 
25.80, 851.74, 27.54 
25.80, 851.74, 27.61 
25.82, 851.98, 27.65 
25.79, 851.92, 27.64 
25.77, 851.68, 27.71 
25.77, 851.89, 27.78 
25.77, 851.89, 27.76 
25.79, 852.14, 27.76 
25.77, 851.89, 27.75 
25.77, 851.68, 27.75 
25.75, 851.86, 27.72 
25.75, 851.86, 27.73 
25.75, 851.86, 27.76 
25.75, 851.86, 27.75 
25.75, 851.86, 27.73 
25.79, 851.92, 27.73 
25.77, 851.89, 27.78 
25.77, 851.89, 27.75 
25.77, 851.68, 27.76 
25.79, 851.71, 27.76 
25.77, 851.89, 27.76 
25.79, 851.71, 27.81 
25.75, 851.86, 27.69 
25.74, 851.84, 27.70 
25.72, 851.81, 27.72 
25.75, 851.86, 27.77 
25.71, 851.56, 27.73 
25.72, 851.81, 27.77 
25.72, 851.81, 27.77 
25.72, 851.59, 27.77 
25.71, 851.56, 27.76 
25.71, 851.78, 27.72 
25.71, 851.78, 27.72 
25.69, 851.75, 27.73 
25.67, 851.72, 27.72 
25.69, 851.96, 27.72 
25.69, 851.75, 27.73 
25.69, 851.96, 27.77 
25.67, 851.72, 27.81 
25.69, 851.75, 27.87 
25.67, 851.72, 27.77 
25.66, 851.90, 27.81 
25.64, 851.66, 27.79 
25.66, 851.69, 27.78 
25.66, 851.90, 27.84 
25.66, 851.69, 27.76 
25.66, 851.90, 27.74 
25.66, 851.90, 27.77 
25.64, 851.66, 27.74 
25.66, 851.90, 27.75 
25.64, 851.87, 27.78 
25.64, 851.87, 27.76 
25.66, 851.90, 27.75 
25.66, 851.69, 27.83 
25.66, 851.69, 27.73 
25.66, 851.90, 27.65 
25.66, 851.90, 27.60 
25.64, 851.66, 27.68 
25.64, 851.87, 27.73 
25.64, 851.87, 27.74 
25.64, 851.87, 27.78 
25.64, 851.87, 27.76 
25.64, 851.66, 27.71 
25.64, 851.87, 27.69 
25.64, 851.87, 27.70 
25.64, 851.66, 27.70 
25.64, 851.66, 27.75 
25.66, 851.90, 27.73 
25.64, 851.87, 27.73 
25.64, 851.87, 27.76 
25.64, 851.66, 27.77 
25.66, 851.47, 27.75 
25.66, 851.90, 27.74 
25.64, 851.66, 27.71 
25.64, 851.87, 27.71 
25.63, 851.84, 27.73 
25.64, 851.66, 27.61 
25.63, 851.84, 27.59 
25.63, 851.84, 27.65 
25.64, 851.66, 27.58 
25.64, 851.87, 27.59 
25.63, 851.84, 27.58 
25.64, 851.87, 27.56 
25.63, 851.63, 27.56 
25.63, 851.84, 27.54 
25.63, 851.84, 27.54 
25.63, 851.84, 27.50 
25.64, 851.66, 27.48 
25.64, 851.66, 27.60 
25.66, 851.90, 27.57 
25.67, 851.93, 27.48 
25.67, 851.93, 27.44 
25.67, 851.93, 27.42 
25.67, 851.93, 27.42 
25.67, 851.72, 27.38 
25.66, 851.90, 27.44 
25.67, 851.72, 27.45 
25.67, 851.93, 27.43 
25.66, 851.90, 27.37 
25.66, 851.69, 27.41 
25.66, 851.69, 27.41 
25.64, 851.66, 27.40 
25.64, 851.87, 27.49 
25.64, 851.87, 27.48 
25.66, 851.90, 27.46 
25.66, 851.90, 27.42 
25.67, 851.50, 27.37 
25.67, 851.93, 27.33 
25.67, 851.72, 27.32 
25.67, 851.93, 27.35 
25.66, 851.90, 27.37 
25.66, 851.69, 27.40 
25.64, 851.66, 27.40 
25.64, 851.87, 27.42 
25.63, 851.84, 27.48 
25.63, 851.84, 27.52 
25.63, 851.84, 27.50 
25.64, 851.66, 27.46 
25.63, 851.84, 27.37 
25.63, 852.05, 27.34 
25.64, 852.08, 27.34 
25.61, 851.81, 27.41 
25.61, 851.81, 27.44 
25.64, 851.66, 27.44 
25.63, 851.41, 27.44 
25.64, 851.87, 27.46 
25.63, 851.63, 27.34 
25.61, 851.60, 26.96 
25.63, 851.63, 27.57 
25.64, 851.87, 27.53 
25.64, 851.87, 27.45 
25.64, 851.44, 27.34 
25.66, 851.69, 27.25 
25.64, 851.87, 27.23 
25.63, 851.63, 27.28 
25.61, 851.81, 27.29 
25.59, 851.57, 27.37 
25.61, 851.81, 27.41 
25.59, 851.78, 27.44 
25.59, 851.57, 27.39 
25.58, 851.75, 27.44 
25.58, 851.75, 27.47 
25.56, 851.72, 27.04 
25.56, 851.72, 27.18 
25.58, 851.75, 27.39 
25.58, 851.54, 27.40 
25.61, 851.60, 27.21 
25.63, 851.63, 27.18 
25.61, 851.60, 27.09 
25.63, 851.63, 27.17 
25.63, 851.63, 27.21 
25.64, 851.66, 27.20 
25.63, 851.63, 27.15 
25.63, 851.63, 27.17 
25.61, 851.60, 27.18 
25.61, 851.60, 27.24 
25.59, 851.57, 27.25 
25.61, 851.81, 27.27 
25.59, 851.78, 27.31 
25.58, 851.75, 27.32 
25.56, 851.51, 27.38 
25.56, 851.72, 27.34 
25.55, 851.90, 27.34 
25.55, 851.48, 27.35 
25.56, 851.51, 27.34 
25.56, 851.72, 27.34 
25.58, 851.54, 27.31 
25.58, 851.54, 27.28 
25.59, 851.78, 27.25 
25.59, 851.78, 27.22 
25.59, 851.57, 27.19 
25.59, 851.78, 27.21 
25.58, 851.75, 27.22 
25.58, 851.54, 27.21 
25.58, 851.54, 27.20 
25.58, 851.75, 27.22 
25.58, 851.54, 27.21 
25.58, 851.54, 27.19 
25.58, 851.54, 27.21 
25.58, 851.75, 27.19 
25.56, 851.51, 27.19 
25.56, 851.72, 27.19 
25.56, 851.72, 27.27 
25.56, 851.72, 27.26 
25.58, 851.75, 27.28 
25.56, 851.93, 27.24 
25.56, 851.93, 27.21 
25.58, 851.75, 27.25 
25.58, 851.75, 27.32 
25.58, 851.75, 27.30 
25.58, 851.75, 27.25 
25.58, 851.75, 27.26 
25.56, 851.72, 27.29 
25.56, 851.72, 27.23 
25.58, 851.96, 27.22 
25.58, 851.75, 27.25 
25.58, 851.75, 27.27 
25.59, 851.78, 27.20 
25.61, 851.81, 27.19 
25.59, 851.78, 27.23 
25.59, 851.78, 27.19 
25.59, 851.57, 27.12 
25.61, 851.81, 27.09 
25.59, 851.78, 27.12 
25.61, 851.81, 27.12 
25.59, 851.78, 27.15 
25.58, 851.75, 27.08 
25.58, 851.75, 27.08 
25.56, 851.72, 27.08 
25.56, 851.72, 27.16 
25.56, 851.72, 27.15 
25.58, 851.54, 27.15 
25.58, 851.75, 27.18 
25.56, 851.72, 27.21 
25.56, 851.72, 27.20 
25.58, 851.75, 27.17 
25.59, 851.57, 27.16 
25.59, 851.78, 27.15 
25.58, 851.54, 27.18 
25.58, 851.75, 27.13 
25.59, 851.57, 27.10 
25.58, 851.54, 27.08 
25.58, 851.75, 27.11 
25.55, 851.69, 27.13 
25.55, 851.69, 27.10 
25.55, 851.90, 27.12 
25.55, 851.90, 27.16 
25.53, 851.66, 27.21 
25.53, 851.66, 27.28 
25.51, 851.84, 27.33 
25.51, 851.84, 27.38 
25.51, 851.84, 27.39 
25.51, 851.63, 27.40 
25.53, 851.66, 27.41 
25.53, 851.87, 27.43 
25.51, 851.63, 27.38 
25.51, 851.63, 27.44 
25.53, 851.87, 27.33 
25.51, 851.84, 27.32 
25.53, 851.66, 27.29 
25.50, 851.81, 27.31 
25.51, 851.63, 27.31 
25.51, 851.63, 27.28 
25.50, 851.81, 27.24 
25.50, 851.81, 27.20 
25.51, 851.84, 27.18 
25.53, 851.66, 27.10 
25.51, 851.84, 27.11 
25.50, 852.03, 27.10 
25.50, 852.03, 27.12 
25.50, 851.60, 27.14 
25.48, 851.78, 27.20 
25.47, 851.75, 27.27 
25.48, 851.78, 27.34 
25.47, 851.75, 26.90 
25.45, 851.94, 27.15 
25.43, 851.69, 27.31 
25.45, 851.72, 27.28 
25.42, 851.67, 27.44 
25.42, 851.88, 27.61 
25.39, 851.61, 27.67 
25.40, 851.64, 27.67 
25.42, 851.88, 27.65 
25.42, 851.67, 27.78 
25.43, 851.69, 27.96 
25.43, 851.69, 27.87 
25.45, 851.94, 27.85 
25.47, 851.75, 27.95 
25.47, 851.97, 28.09 
25.48, 851.78, 28.21 
25.53, 851.87, 28.15 
25.51, 851.63, 28.13 
25.53, 851.87, 28.03 
25.50, 851.81, 28.01 
25.50, 851.81, 27.99 
25.50, 851.81, 27.94 
25.50, 851.81, 27.82 
25.50, 851.81, 27.73 
25.51, 851.63, 27.67 
25.50, 851.81, 27.63 
25.51, 851.84, 27.54 
25.50, 851.60, 27.47 
25.48, 851.57, 27.37 
25.47, 851.75, 27.39 
25.45, 851.72, 27.41 
25.47, 851.75, 27.36 
25.47, 851.75, 27.34 
25.45, 851.72, 27.35 
25.45, 851.51, 27.28 
25.47, 851.75, 27.29 
25.47, 851.75, 27.23 
